numero,file_url,file_txt
195,http://contratos.gastosabertos.org/files/contrato-195.doc,http://contratos.gastosabertos.org/files/contrato-195.txt
196,http://contratos.gastosabertos.org/files/contrato-196.pdf,http://contratos.gastosabertos.org/files/contrato-196.txt
197,http://contratos.gastosabertos.org/files/contrato-197.pdf,http://contratos.gastosabertos.org/files/contrato-197.txt
198,http://contratos.gastosabertos.org/files/contrato-198.pdf,http://contratos.gastosabertos.org/files/contrato-198.txt
199,http://contratos.gastosabertos.org/files/contrato-199.pdf,http://contratos.gastosabertos.org/files/contrato-199.txt
200,http://contratos.gastosabertos.org/files/contrato-200.pdf,http://contratos.gastosabertos.org/files/contrato-200.txt
201,http://contratos.gastosabertos.org/files/contrato-201.doc,http://contratos.gastosabertos.org/files/contrato-201.txt
202,http://contratos.gastosabertos.org/files/contrato-202.pdf,http://contratos.gastosabertos.org/files/contrato-202.txt
203,http://contratos.gastosabertos.org/files/contrato-203.doc,http://contratos.gastosabertos.org/files/contrato-203.txt
204,http://contratos.gastosabertos.org/files/contrato-204.doc,http://contratos.gastosabertos.org/files/contrato-204.txt
205,http://contratos.gastosabertos.org/files/contrato-205.docx,http://contratos.gastosabertos.org/files/contrato-205.txt
206,http://contratos.gastosabertos.org/files/contrato-206.pdf,http://contratos.gastosabertos.org/files/contrato-206.txt
207,http://contratos.gastosabertos.org/files/contrato-207.pdf,http://contratos.gastosabertos.org/files/contrato-207.txt
208,http://contratos.gastosabertos.org/files/contrato-208.doc,http://contratos.gastosabertos.org/files/contrato-208.txt
209,http://contratos.gastosabertos.org/files/contrato-209.pdf,http://contratos.gastosabertos.org/files/contrato-209.txt
210,http://contratos.gastosabertos.org/files/contrato-210.pdf,http://contratos.gastosabertos.org/files/contrato-210.txt
211,http://contratos.gastosabertos.org/files/contrato-211.pdf,
212,http://contratos.gastosabertos.org/files/contrato-212.doc,http://contratos.gastosabertos.org/files/contrato-212.txt
213,http://contratos.gastosabertos.org/files/contrato-213.docx,http://contratos.gastosabertos.org/files/contrato-213.txt
214,http://contratos.gastosabertos.org/files/contrato-214.doc,http://contratos.gastosabertos.org/files/contrato-214.txt
215,http://contratos.gastosabertos.org/files/contrato-215.doc,http://contratos.gastosabertos.org/files/contrato-215.txt
216,http://contratos.gastosabertos.org/files/contrato-216.doc,http://contratos.gastosabertos.org/files/contrato-216.txt
217,http://contratos.gastosabertos.org/files/contrato-217.doc,http://contratos.gastosabertos.org/files/contrato-217.txt
218,http://contratos.gastosabertos.org/files/contrato-218.doc,http://contratos.gastosabertos.org/files/contrato-218.txt
219,http://contratos.gastosabertos.org/files/contrato-219.doc,http://contratos.gastosabertos.org/files/contrato-219.txt
220,,http://contratos.gastosabertos.org/files/contrato-220.txt
221,http://contratos.gastosabertos.org/files/contrato-221.doc,http://contratos.gastosabertos.org/files/contrato-221.txt
222,http://contratos.gastosabertos.org/files/contrato-222.doc,http://contratos.gastosabertos.org/files/contrato-222.txt
223,http://contratos.gastosabertos.org/files/contrato-223.doc,http://contratos.gastosabertos.org/files/contrato-223.txt
224,http://contratos.gastosabertos.org/files/contrato-224.doc,http://contratos.gastosabertos.org/files/contrato-224.txt
225,http://contratos.gastosabertos.org/files/contrato-225.doc,http://contratos.gastosabertos.org/files/contrato-225.txt
226,http://contratos.gastosabertos.org/files/contrato-226.doc,http://contratos.gastosabertos.org/files/contrato-226.txt
227,http://contratos.gastosabertos.org/files/contrato-227.doc,http://contratos.gastosabertos.org/files/contrato-227.txt
228,http://contratos.gastosabertos.org/files/contrato-228.doc,http://contratos.gastosabertos.org/files/contrato-228.txt
229,http://contratos.gastosabertos.org/files/contrato-229.pdf,
230,http://contratos.gastosabertos.org/files/contrato-230.doc,http://contratos.gastosabertos.org/files/contrato-230.txt
231,http://contratos.gastosabertos.org/files/contrato-231.zip,
